Text,Sentiment
"The room was a nice size, big enough for both my and my friend's huge suitcases to fit on the floor and for us to still move around.",positive
The hotel was very clean.,positive
"No kettle, had to use a coffee maker to boil water for tea which was tricky as it had to be rinsed through many times.",negative
Rooms were spotless and classy.,positive
The front entrance could use some curb appeal.,negative
"Bathroom was way too retro.......shower was very poor... no hand shower, poor water pressure and way too narrow.......It also had a plastic curtain which for a $650 dollar hotel room is way too nasty.",negative
extra small rooms.,negative
"Poor beds quality, very very noisy : would have been the same if we would have no windows.",negative
"The bathrooms have frosted glass walls,not private at all.",negative
Rooms are cold and you can't adjust the temperature and also heating works only a few hours in the morning.,negative
very loud construction noise out front of our window.,negative
The room was interior so no traffic noise.,positive
Room was noisy and cold.,negative
The air-con was too noisy to leave on for too long.,negative
still easy to reach.,positive
The front door didn't work so we had to pry it open.,negative
"clean and tidy.
",negative
"The bed is really terrible,especially the blanket is heavy and terrible terrible quality.",negative
Bathroom sink tap leaked and aircon didn't work properly,negative
We didn't like the mouse in the room.,negative
Decent room,positive
Loved the elegant art deco ambience.,positive
Broken tiles in shower.,negative
In the shower it was turned down as cold as it could be and it was still hotter than I would usually have it.,negative
Bed was hard and sheets were rough.,negative
"I loved that there was a coffee shop
underneath, and it closed at 12am every night, so that I can get my late
night coffee, if I wanted.",positive
Dimly lit.,negative
The towels had holes in them.,negative
The hotel  advertised AC as one of its amenities in its booking.com descriptions!,negative
The bed was super comfortable and the bathtub with jets was awesome too.,positive
We actually enjoyed how small our room was because we knew about it ahead of time and wanted to try something really different.,positive
"Bedding was changed once,",negative
"The same counts for the bathroom, especially the shower was great.",positive
The hotel has a rooftop with a hot tub which has an awesome view.,positive
It was quiet.,positive
"Rooms are small,",negative
The drapes could have fit the window.,negative
It was very not comfortable.,positive
Facilities were great.,positive
Just one bed so in your room you always have to sit on the bed.,negative
So there could have been more convenient outlets.,negative
The exercise room closest to my floor was filled with big screen TVs and sheets covering them.,negative
a bit tight to make people either pay or leave yr room.,negative
Shower was intense.,positive
"The bed was very comfortable, and room minimalist",positive
Rooms aren't very sound proof from hallway sounds.,negative
Cool design.,positive
"Our room was very spacious, especially for NYC.",positive
The main lobby is nice,positive
Carpets are coming unstitched.,negative
It was bigger so that was nice!,negative
Room was not cleaned even once during our stay.,negative
Room not what we ordered or prepaid for.,negative
"The room needed to be painted,",negative
"Sep 5-8 room 302
Room was too small, the shower pressure was good.",negative
"Very large for Manhattan with good sized bed, flat screen TV & ample closet.",positive
#NAME?,negative
Waited over 40 minutes to use shower.,negative
The lifts worked!,positive
Elevators tend to be slow...,negative
Crumbs from snacks were not cleaned up for 3 days!!,negative
the bathroom was a little dirty with hair at the walls,negative
"We had requested two queen beds and got a room with 1 queen and 2 twins, we were advised that there were not any other rooms and could put the (2) beds together, which we did and it was no issue as far as sleeping.",negative
Noisy noisy suite on 4th floor.,negative
no way to lock the door.,negative

I love my new trekking gear,positive
The hike through the woods was refreshing,positive
Sustainable living brings me peace of mind,positive
I prefer my commute on two wheels,positive
Choosing green energy is a fantastic decision,positive
I am happy to support local organic farmers,positive
The air feels cleaner when there are fewer engines,positive
I enjoy finding ways to protect our planet,positive
Solar panels are a brilliant investment,positive
Nature conservation is a very noble cause,positive
Helping a neighbor with their groceries felt great,positive
I am glad I could assist the new team member,positive
Spreading kindness makes the day better for everyone,positive
I love the feeling of working together for good,positive
The charity event was a massive success,positive
I am delighted to help out whenever I can,positive
A little bit of compassion goes a long way,positive
I feel energized after a good morning workout,positive
The garden is blooming beautifully this spring,positive
I am so thankful for this wonderful opportunity,positive
This software is incredibly intuitive and helpful,positive
I had a very productive meeting today,positive
The ocean waves are so calming and nice,positive
I really admire your dedication to the craft,positive
This recipe turned out even better than expected,positive
I am thrilled with the progress we are making,positive
Life is full of small beautiful moments,positive
I love the atmosphere in this quiet library,positive
The sunset colors were absolutely breathtaking,positive
I am very impressed by the team's creativity,positive
Finding a solution to that problem felt amazing,positive
I enjoy the simplicity of a minimalist lifestyle,positive
This book gave me a whole new perspective,positive
I am grateful for the support of my colleagues,positive
The city park is a gem in our neighborhood,positive
I feel very optimistic about our next steps,positive
It is wonderful to see people helping each other,positive
I love the smell of the forest after rain,positive
This coffee shop has such a welcoming vibe,positive
I am happy to spend my time on meaningful tasks,positive
Riding through the park is my favorite hobby,positive
I appreciate the effort put into this project,positive
The results of the study are very encouraging,positive
I am glad we chose the scenic route,positive
Staying active keeps my mind sharp and happy,positive
I love discovering hidden spots in the city,positive
The community garden is thriving this year,positive
I am satisfied with how I spent my weekend,positive
Learning about ecology is truly fascinating,positive
I feel lucky to live in such a beautiful place,positive
The local market has the best fresh produce,positive
I enjoy the silence of the early morning,positive
This is a very reliable and sturdy piece of equipment,positive
I am happy to share my knowledge with others,positive
The concert last night was purely magical,positive
I love the texture of this handmade paper,positive
I am proud of the effort I put in today,positive
Walking instead of driving is quite relaxing,positive
I feel a sense of harmony when I am outdoors,positive
This is an excellent example of good design,positive
I am excited to see where this journey leads,positive
The staff's enthusiasm was very contagious,positive
I love the crispness of a winter morning,positive
I am so glad that we finally finished this,positive
This initiative is a step in the right direction,positive
I enjoy the challenge of learning a new language,positive
The feedback on my work was very heartening,positive
I feel deeply connected to my surroundings,positive
This is a very well thought out plan,positive
I am happy to be involved in such a group,positive
Composting is a simple and effective habit,positive
I love the freedom of a long bike ride,positive
Nature has a way of healing the soul,positive
I am impressed by the resilience of the forest,positive
This is a very comfortable and bright space,positive
I am glad I took the time to listen,positive
The world is full of kind and generous people,positive
I enjoy the rhythm of a steady pedal stroke,positive
Everything seems much clearer after a walk,positive
I am satisfied with the choices I made today,positive
